CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
285554575,02/29/2016,14:00:00,,,12/16/2016,353,UNAUTHORIZED USE OF A VEHICLE,462,UNAUTHORIZED USE VEHICLE 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,108,INSIDE,STREET,,,996644,209958,40.742962354,-73.955274248,"(40.742962354, -73.955274248)"
133224695,02/29/2016,20:00:00,,,12/15/2016,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,76,INSIDE,RESIDENCE - PUBLIC HOUSING,,GOWANUS,,,,,
640260681,02/29/2016,23:00:00,10/27/2016,15:30:00,10/27/2016,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,79,INSIDE,RESIDENCE-HOUSE,,,1000124,188798,40.684877646,-73.942765593,"(40.684877646, -73.942765593)"
120519449,02/29/2016,13:53:00,,,08/10/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,52,,STREET,,,1017478,256069,40.869470477,-73.879860804,"(40.869470477, -73.879860804)"
102408791,02/29/2016,14:00:00,06/16/2016,09:30:00,07/23/2016,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1008419,246847,40.844188306,-73.912648156,"(40.844188306, -73.912648156)"
693010842,02/29/2016,21:00:00,07/20/2016,21:00:00,07/21/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,52,INSIDE,RESIDENCE - APT. HOUSE,,,1011559,254599,40.865456072,-73.901267777,"(40.865456072, -73.901267777)"
523053519,02/29/2016,08:00:00,05/01/2016,15:00:00,07/19/2016,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,40,INSIDE,RESIDENCE - APT. HOUSE,,,1010107,235102,40.811946866,-73.906592535,"(40.811946866, -73.906592535)"
462989628,02/29/2016,12:00:00,07/12/2016,12:00:00,07/16/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,985572,207670,40.736690946,-73.995231092,"(40.736690946, -73.995231092)"
827993202,02/29/2016,00:01:00,03/15/2016,20:00:00,07/14/2016,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE-HOUSE,,,1020203,244832,40.838617608,-73.870068449,"(40.838617608, -73.870068449)"
273533341,02/29/2016,15:00:00,03/21/2016,15:00:00,06/22/2016,125,NYS LAWS-UNCLASSIFIED FELONY,847,"NY STATE LAWS,UNCLASSIFIED FEL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,5,INSIDE,PUBLIC BUILDING,,,983903,200257,40.716344152,-74.001253193,"(40.716344152, -74.001253193)"
963638768,02/29/2016,12:00:00,,,06/20/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,63,INSIDE,OTHER,,,1010697,160191,40.606332364,-73.904755386,"(40.606332364, -73.904755386)"
520609402,02/29/2016,14:00:00,06/16/2016,20:45:00,06/16/2016,353,UNAUTHORIZED USE OF A VEHICLE,462,UNAUTHORIZED USE VEHICLE 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,105,FRONT OF,STREET,,,1055616,199072,40.712803798,-73.742573531,"(40.712803798, -73.742573531)"
